Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered
2020-06-22,Andaman and Nicobar Islands,11.7401,92.6586,48,0,37,0,0,0
2020-06-22,Andhra Pradesh,15.9129,79.74,8999,106,4331,0,0,0
2020-06-22,Arunachal Pradesh,28.218000000000004,94.7278,135,0,15,0,0,0
2020-06-22,Assam,26.2006,92.9376,5388,9,3360,0,0,0
2020-06-22,Bihar,25.0961,85.3131,7612,53,5580,0,0,0
2020-06-22,Chandigarh,30.7333,76.7794,406,6,316,0,0,0
2020-06-22,Chhattisgarh,21.2787,81.8661,2275,11,1447,0,0,0
2020-06-22,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,88,0,26,0,0,0
2020-06-22,Delhi,28.7041,77.1025,59746,2175,33013,0,0,0
2020-06-22,Goa,15.2993,74.124,754,0,129,0,0,0
2020-06-22,Gujarat,22.2587,71.1924,27260,1663,19349,0,0,0
2020-06-22,Haryana,29.0588,76.0856,10635,160,5557,0,0,0
2020-06-22,Himachal Pradesh,31.1048,77.1734,673,8,425,0,0,0
2020-06-22,Jammu and Kashmir,33.7782,76.5762,5956,82,3382,0,0,0
2020-06-22,Jharkhand,23.6102,85.2799,2073,11,1406,0,0,0
2020-06-22,Karnataka,15.3173,75.7139,9150,137,5618,0,0,0
2020-06-22,Kerala,10.8505,76.2711,3172,21,1661,0,0,0
2020-06-22,Ladakh,34.2996,78.2932,837,1,134,0,0,0
2020-06-22,Madhya Pradesh,22.9734,78.6569,11903,515,9015,0,0,0
2020-06-22,Maharashtra,19.7515,75.7139,132075,6170,65744,0,0,0
2020-06-22,Manipur,24.6637,93.9063,841,0,250,0,0,0
2020-06-22,Meghalaya,25.467,91.3662,44,1,33,0,0,0
2020-06-22,Mizoram,23.1645,92.9376,141,0,9,0,0,0
2020-06-22,Nagaland,26.1584,94.5624,211,0,141,0,0,0
2020-06-22,Odisha,20.9517,85.0985,5160,14,3720,0,0,0
2020-06-22,Puducherry,11.9416,79.8083,366,8,140,0,0,0
2020-06-22,Punjab,31.1471,75.3412,4074,99,2700,0,0,0
2020-06-22,Rajasthan,27.0238,74.2179,14930,349,11597,0,0,0
2020-06-22,Sikkim,27.533,88.5122,78,0,25,0,0,0
2020-06-22,Tamil Nadu,11.1271,78.6569,59377,757,32754,0,0,0
2020-06-22,Telangana,18.1124,79.0193,7802,210,3731,0,0,0
2020-06-22,Tripura,23.9408,91.9882,1221,1,759,0,0,0
2020-06-22,Uttar Pradesh,26.8467,80.9462,17731,550,10995,0,0,0
2020-06-22,Uttarakhand,30.0668,79.0193,2344,27,1500,0,0,0
2020-06-22,West Bengal,22.9868,87.855,13945,555,8297,0,0,0
