woeid,location
23424848,India
2295402,India/Ahmedabad
2295388,India/Amritsar
2295420,India/Bangalore
2295407,India/Bhopal
2295424,India/Chennai
20070458,India/Delhi
2295414,India/Hyderabad
2295408,India/Indore
2295401,India/Jaipur
2295378,India/Kanpur
2295386,India/Kolkata
2295377,India/Lucknow
2295411,India/Mumbai
2282863,India/Nagpur
2295381,India/Patna
2295412,India/Pune
2295404,India/Rajkot
2295383,India/Ranchi
2295387,India/Srinagar
2295405,India/Surat
2295410,India/Thane
2427032,United States/Indianapolis
